address,bookinglink,lat,lon,phonenumber,notes
"5933 W. Century Blvd. Los Angeles, CA 90045",https://www.marriott.com/en-us/hotels/laxax-residence-inn-los-angeles-lax-century-boulevard/overview/,(310) 568-7700,34.04805,-118.25419,Call the front desk directly at 310-568-7700 to inquire about availability of displacement rates,
"120 Colorado Ave, Santa Monica, CA",https://www.thepiersidehotel.com/offers/stay-safe-la/,(310) 451-0676,31.472393,-92.49207,https://www.thepiersidehotel.com/offers/stay-safe-la/,
"6500 Selma Avenue, Los Angeles 90028",Call hotel directly,(323) 785-6600,9.549651,-83.718357,Call the hotel (323) 785-6600,
"649 S. Olive St, Los Angeles (DTLA)",https://hotelperla.com/offers/stay-safe-la/,,31.472393,-92.49207,https://hotelperla.com/offers/stay-safe-la/,
1541 Wilcox Ave LA 90028,Call hotel directly or walk in,(323) 465-1234,20.232932,84.525938,Please call and mention you are an evacuee for reduced rates.,
"1160 North Vermont Avenue, Hollywood, CA 90029",https://app.mews.com/distributor/2dfc5378-d9c9-4194-8a2e-b234016a2af1,(323) 746-0444,34.697946,32.948573,www.TheHollywoodHotel.com - Already Discounted on Booking Engine,
6516 Selma Ave LA 90028,Call hotel directly,(323) 987-6516,9.549651,-83.718357,Please call and mention you are an evacuee for reduced rates.,
"506 South Grand Ave, Los Angeles, CA 90071",https://www.millenniumhotels.com/en/los-angeles/millennium-biltmore-hotel-los-angeles/,(213) 624-1011,34.04805,-118.25419,(213) 624-1011,
2005 N. Highland Ave Los Angeles CA 90068,https://www.hilton.com/en/hotels/laxhogi-hilton-garden-inn-los-angeles-hollywood/,(323) 876-8600,34.04805,-118.25419,Please send any requests to the Sales Manager Monica Martinez at monica.martinez@aimbridge.com and/or Director of Sales Bryan Barrera at bryan.barrera@aimbridge.com,
"251 South Olive Street, Los Angeles",https://www.omnihotels.com/hotels/los-angeles-california-plaza/property-details,(213) 617-3300,34.005991,-118.157952,Local Neighbor Rate online corporate code: 45271246919,
2005 N. Highland Ave Los Angeles CA 90068,https://www.hilton.com/en/hotels/laxhogi-hilton-garden-inn-los-angeles-hollywood/,(323) 762-1052,34.04805,-118.25419,Please call/text/email to Sales Manager - Monica Martinez at Office: (323) 762-1052 ; Cell (213) 718-2771 ; email: monica.martinez@aimbridge.com and/or Director of Sales Bryan Barrera at office: (323)762-1045 ; cell (213) 393-0749 ; email: bryan.barrera@aimbridge.com,
1177 South Beverly Dr,www.marriott.com/laxtw,(310) 228-4100,60.982944,25.658726,,
"6161 W Century Blvd Los Angeles, CA 90045",https://www.marriott.com/en-us/hotels/laxcy-courtyard-los-angeles-lax-century-boulevard/overview/,(310) 649-1400 ext 0,34.04805,-118.25419,Call hotel or book online,
"6151 Century Blvd Los Angeles, CA 90045",https://www.hilton.com/en/hotels/laxcaqq-h-hotel-los-angeles/,(310) 215-3000,33.892317,-118.365003,,
5525 Sepulveda Blvd,https://www.bestwestern.com/en_US/book/hotels-in-sherman-oaks/best-western-plus-carriage-inn/propertyCode.05595.html,(818) 787-2300,34.150925,-118.44871,https://www.bestwestern.com/en_US/book/hotels-in-sherman-oaks/best-western-plus-carriage-inn/propertyCode.05595.html,
5711 W. Century Blvd,https://www.hilton.com/en/hotels/laxahhh-hilton-los-angeles-airport/rooms/,(310) 410-4000,34.04805,-118.25419,,
"6225 W Century Blvd. Los Angeles, CA 90045",https://www.hyatt.com/hyatt-regency/en-US/laxla-hyatt-regency-los-angeles-international-airport,(402) 593-8800,34.04805,-118.25419,,
"120 S Los Angeles, CA",https://www.hilton.com/en/hotels/laxdtdt-doubletree-los-angeles-downtown/,(213) 629-1200,34.041607,-118.255,,
9750 Airport Blvd Los Angeles CA 90045,https://www.marriott.com/en-us/hotels/laxfp-four-points-los-angeles-international-airport/overview/,(310) 645-4600,34.04805,-118.25419,code is G11 (Good neighbor rate),
"10730 Ventura BLVD Studio City, CA 91604",https://www.choicehotels.com/california/studio-city/ascend-hotels/cac78,(818) 623-9100,34.143646,-118.39292,Please call and mention you are an evacuee for reduced rates.,
"28190 Jefferson Ave, Temecula CA 92590",Call to book,(951) 506-2331,53.691405,-0.868099,951-506-2331,
"27338 Jefferson Ave, Temecula CA 92590",Must call to book,(951) 296-3788,45.446946,7.846511,20% off room rates if calling to book,
"28220 Jefferson Ave, Temecula CA 92590",Call to book - 951-699-4477,(951) 699-4477,11,-11.75,"$119+ rate, call 951-699-4477",
"1148 Crenshaw Blvd, Los Angeles CA 90019",,(323) 937-1600,47.218183,-1.551244,Please call and mention you are an evacuee for reduced rates.,
"8800 S Broadway, Los Angeles, CA 90003",,(323) 778-0266,47.218183,-1.551244,,
"2462 Clarendon Ave , Huntington Park 90255",Call - 424-903-9768,(424) 903-9767,30.612492,-93.87731,Clarendon fire discount,
